Tour Title,Tour URL,Opinion Count,Image Count,Rating,Excelente,Muy bueno,Promedio,Mala,Horrible
Día completo en la Montaña Arcoíris (Excursión privada),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15884820-Excursion_to_Rainbow_Mountain_from_Cusco_Private_Tour-Cusco_Cusco_Region.html,558,694,5.0,523,32,2,0,1
"Valle Sagrado de los Incas en Privado: Pisaq,Ollantaytambo,Chinchero,Awanacancha",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17718705-Sacred_Valley_of_the_Incas_in_Private_Pisaq_Ollantaytambo_Chinchero_Awanacancha-Cu.html,50,64,5.0,50,0,0,0,0
Cuatrimotos ATV alrededor del Valle Sagrado Moray y Maras Salineras,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d20061258-ATV_Quadbikes_Around_Sacred_Valley_Moray_Maras_Salineras-Cusco_Cusco_Region.html,139,92,5.0,133,4,2,0,0
Montaña de 7 Colores Peru con CUATRIMOTOS Dia Completo,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23757048-Rainbow_Mountain_Peru_with_ATVs_FULL_DAY-Cusco_Cusco_Region.html,10,18,5.0,10,0,0,0,0
Excursión de un día completo a Machu Picchu,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d13805465-Full_Day_Tour_to_Machu_Picchu_on_Panoramic_Train-Cusco_Cusco_Region.html,252,248,5.0,240,7,1,0,4
"Maras, Moray & Salineiras Tour",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23511470-Maras_Moray_Salt_Mines_Tour-Cusco_Cusco_Region.html,260,202,5.0,244,13,2,1,0
"Clase de cocina vegana peruana, cócteles, tour al mercado local Cusco",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d26021523-Peruvian_Vegan_Cooking_Class_cocktails_Local_Market_Tour_Cusco-Cusco_Cusco_Region.html,20,47,5.0,20,0,0,0,0
Tour Valle Sagrado con Mara Moray y Almuerzo incluido Full Day,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d27175583-Sacred_Valley_Tour_with_Mara_Moray_and_Lunch_included_Full_Day-Cusco_Cusco_Region.html,384,431,5.0,368,15,1,0,0
Tour de día completo a Machu Picchu desde Cusco.,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d27159869-Full_Day_Tour_to_Machu_Picchu_from_Cusco-Cusco_Cusco_Region.html,30,41,5.0,29,1,0,0,0
Rafting de 1 día en el río Urubamba,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d14011352-Rafting_Zip_line_Urubamba_River_1_Day-Cusco_Cusco_Region.html,50,68,5.0,42,6,1,1,0
Tour de día completo a Machupicchu (grupo pequeño),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d20080074-Full_day_Machupicchu_Tour_Small_Group-Cusco_Cusco_Region.html,97,139,5.0,92,4,0,0,1
Trek Laguna Humantay Full Day,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23558273-Humantay_Lake_Full_Day_Trek-Cusco_Cusco_Region.html,811,507,5.0,783,24,3,0,1
Tour en Cuatrimoto por el Valle Rojo y Montaña Arcoiris,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d27135677-ATV_Tour_through_the_Red_Valley_and_Rainbow_Mountain-Cusco_Cusco_Region.html,14,34,4.5,12,0,0,0,2
Excursión de día completo al Valle Sagrado desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d24933384-Full_Day_Sacred_Valley_Tour_from_Cusco-Cusco_Cusco_Region.html,55,89,5.0,54,0,0,0,1
Excursión de un día al Valle Sagrado con Maras y Moray desde Cuzco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d27519777-Sacred_Valley_with_Maras_and_Moray_day_trip_from_Cusco-Cusco_Cusco_Region.html,14,31,5.0,14,0,0,0,0
Excursión de 1 día a la ciudad inca de Machu Picchu,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11763665-1_day_Machu_Picchu_Tour_From_Cusco-Cusco_Cusco_Region.html,107,127,5.0,99,8,0,0,0
Tour completo desde Cusco a Machu Picchu en Tren,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d25450693-Complete_tour_from_Cusco_to_Machu_Picchu_by_Train-Cusco_Cusco_Region.html,9,8,5.0,9,0,0,0,0
"Pisac Pueblo Inca, Mercado de Artesanos y Ollantaytambo Tour Día Completo desde Cusco",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11451056-Pisac_Indian_Market_and_Ollantaytambo_fortress_with_lunch-Cusco_Cusco_Region.html,104,177,4.5,71,18,9,3,3
Trek Rainbow Mountain Full Day,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23558272-Rainbow_Mountain_Full_Day_Trek-Cusco_Cusco_Region.html,1502,717,5.0,"1,423",61,14,4,0
Tour en Bicicleta Valle Sagrado - MTB MARAS Y MORAY - Privado,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23319011-Sacred_Valley_Biking_Tour_MTB_MARAS_AND_MORAY_Private-Cusco_Cusco_Region.html,12,59,5.0,12,0,0,0,0
Clase de cocina grupal en Marcelo Batata en Cuzco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d12939643-Group_Cooking_Class_at_Marcelo_Batata_in_Cusco-Cusco_Cusco_Region.html,167,166,5.0,158,3,5,0,1
"Transporte a Ollantaytambo con visitas a Chinchero, Salineras de Maras y Moray",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17587864-Transport_to_Ollantaytambo_with_visits_to_Chinchero_Salineras_de_Maras_and_Moray-C.html,13,46,5.0,12,1,0,0,0
"Montaña Arcoiris ante las multitudes, junto con Valle Rojo",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d18342865-Rainbow_Mountain_before_the_crowds_along_with_Red_Valley-Cusco_Cusco_Region.html,503,413,4.5,420,44,9,9,21
Cuatrimotos en Morada de los Dioses - Cusco Amazing,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23104577-ATV_s_in_Abode_of_the_Gods_cusco_Amazing-Cusco_Cusco_Region.html,7,11,4.5,6,0,1,0,0
Tour de 1 día a la Montaña Arcoiris en quad,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d26586717-1_Day_Rainbow_Mountain_Tour_by_Quad_Bike-Cusco_Cusco_Region.html,23,11,5.0,23,0,0,0,0
Clases de cocina en Cuzco y recorrido por el mercado de San Pedro,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d14942900-Cusco_Cooking_Classes_and_San_Pedro_Market_Tour-Cusco_Cusco_Region.html,547,947,5.0,535,11,1,0,0
"Cusco Ciudad Imperial, Mercado San Pedro, Catedral y Templo Qorikancha.",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11451054-Cusco_City_Sightseeing_San_Pedro_Market_Cathedral_and_Qorikancha_Temple-Cusco_Cusc.html,42,62,4.5,32,9,0,0,1
Excursión privada de un día a Palcoyo Rainbow Mountain desde Cuzco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d26830373-Palcoyo_Rainbow_Mountain_Private_Day_Trip_Tour_from_Cusco-Cusco_Cusco_Region.html,10,29,5.0,10,0,0,0,0
Ruta por la selva en el Camino Inca a Machu Picchu: Excursión de 4 días,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11464659-Inca_Jungle_Trail_to_Machu_Picchu_4_Day_Tour-Cusco_Cusco_Region.html,89,193,5.0,84,3,1,1,0
Excursión de un día a Machu Picchu desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17459149-Machu_Picchu_day_trip_from_Cusco-Cusco_Cusco_Region.html,366,272,5.0,351,10,2,1,2
Visita alternativa con senderismo por la Montaña Arcoíris de Palccoyo (privado o para grupos pequeños de 6 personas),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17223625-Alternative_Rainbow_Mountain_Palccoyo_Hike_6_Small_Group-Cusco_Cusco_Region.html,15,41,5.0,14,1,0,0,0
Combo Valle Sagrado Pisac Moray Salinas y Ollantaytambo,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d27493049-Combo_Sacred_valley_Pisac_Moray_Salt_mines_and_Ollantaytambo-Cusco_Cusco_Region.html,128,153,5.0,114,12,2,0,0
Excursión a Sacsayhuamán y el Templo del Sol desde Cuzco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11451059-Cusco_City_Sightseeing_Sacsayhuaman_Archeological_Park_Tour-Cusco_Cusco_Region.html,25,17,4.5,16,5,2,2,0
Excursión al Valle Sagrado y Machu Picchu en tren Panorámico,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d24001621-Excursion_to_the_Sacred_Valley_and_Machu_Picchu_by_Panoramic_Train-Cusco_Cusco_Reg.html,33,66,5.0,30,3,0,0,0
Moray y Salinera de Maras Medio Día,https://www.tripadvisor.com.pe/AttractionProductReview-g304042-d19175906-Moray_and_Salinera_de_Maras_Half_Day-Maras_Cusco_Region.html,27,36,5.0,24,1,2,0,0
